iter	Passed	Remaining
0	2	215
1	3	190
2	5	181
3	6	163
4	9	176
5	11	175
6	13	176
7	15	174
8	16	170
9	18	168
10	20	164
11	22	161
12	23	159
13	25	155
14	27	155
15	29	152
16	30	150
17	32	148
18	34	145
19	35	143
20	37	142
21	39	139
22	41	137
23	42	135
24	44	133
25	45	130
26	47	128
27	49	126
28	51	126
29	53	123
30	54	121
31	56	119
32	58	118
33	60	116
34	61	114
35	63	112
36	64	110
37	66	108
38	68	106
39	70	105
40	71	103
41	72	100
42	74	98
43	75	96
44	77	94
45	79	93
46	81	91
47	82	89
48	84	88
49	87	87
50	88	85
51	90	83
52	92	81
53	94	80
54	95	78
55	97	76
56	98	74
57	100	72
58	102	71
59	103	69
60	105	67
61	107	65
62	108	63
63	110	62
64	112	60
65	114	58
66	115	57
67	117	55
68	119	53
69	120	51
70	122	50
71	124	48
72	125	46
73	127	44
74	129	43
75	131	41
76	133	39
77	134	38
78	137	36
79	139	34
80	141	33
81	143	31
82	144	29
83	146	27
84	148	26
85	150	24
86	152	22
87	154	21
88	156	19
89	157	17
90	159	15
91	161	14
92	163	12
93	164	10
94	166	8
95	167	6
96	169	5
97	171	3
98	172	1
99	174	0
